user_utterance,intent,entity_type,entity_value
My laptop won’t turn on,tech_support,device,laptop
Book a flight to Rome next Friday,travel_booking,destination,Rome
Book a flight to Rome next Friday,travel_booking,date,next Friday
I feel really lonely today,emotional_support,emotion,lonely
What's the weather in Warsaw today,weather_query,location,Warsaw
Transfer 200 dollars to my savings account,banking_request,amount,200 dollars
Transfer 200 dollars to my savings account,banking_request,account_type,savings
I need a hotel in Berlin for three nights.,travel_booking,location,Berlin
I need a hotel in Berlin for three nights.,travel_booking,duration,3 nights
Tell me a joke.,entertainment_request,entertainment_type,joke
I can't stop worrying about everything.,emotional_support,emotion,worrying
What is the capital of Canada?,general_information,country,Canada
My screen is frozen. What should I do?,tech_support,device_issue,frozen screen
Can meditation help with stress?,health_information ,topic,meditation
Can meditation help with stress?,health_information ,topic,stress
Add milk and bread to my shopping list.,task_management,product,bread
Add milk and bread to my shopping list.                                                                                                                                                         ,task_management,product,milk
Are there any discounts today?,shopping_query,information,discount
Are there cheap flights to Barcelona in July?,travel_query,destination,Barcelona
Are there cheap flights to Barcelona in July?,travel_query,date,July
Book a table for two tonight.,task_management,date,tonight
Can you recommend a good movie?,entertainment_request,content_type,movie
Cancel my reservation for tomorrow.,task_management,activity,cancel
Cancel my reservation for tomorrow.,task_management,date,tomorrow 
Do they have vegetarian options?,restaurant_query,information,vegetarian
Do you have this jacket in size medium?,shopping_query,size,medium
Do you like music?,casual_conversation,topic,music
Find a good Italian restaurant nearby.,restaurant_query,cuisine,Italian
How can I sleep better at night?,health_information ,topic,sleep
How do I open a new bank account?,banking_request,action,open account
How do I reset my password?,tech_support,topic,reset password
How far is the Moon from Earth?,general_information,topic,space
I don’t feel motivated to do anything.,emotional_support,emotion,not motivated
I feel overwhelmed with work.,emotional_support,emotion,overwhelmed
I just need someone to talk to.,emotional_support,action,talk
I lost my credit card. What should I do?,banking_request,action,block card
I lost my credit card. What should I do?                                                                                                                                                         ,banking_request,information,lost card
I want to return the shoes I bought yesterday.,task_management,product,shoes
I want to return the shoes I bought yesterday.,task_management,action,return
I’ve been feeling really tired lately.,health_information ,topic,feeling tired
Is it normal to feel anxious before a presentation?,emotional_support,emotion,anxious
Remind me to call my mom tonight.,task_management,action,call
Remind me to call my mom tonight.,task_management,who,mom
Schedule a meeting with Anna next week.,task_management,action,schedule_meeting
Set an alarm for 7 a.m.,task_management,action,set_alarm
Set an alarm for 7 a.m.,task_management,date,7 a.m.
The app keeps crashing on my phone.,tech_support,device,phone
The app keeps crashing on my phone.,tech_support,device_issue,app_crashing
The internet stopped working suddenly.,tech_support,topic,no internet
What are the symptoms of the flu?,health_information ,topic,flu
What is my account balance?,banking_request,action,check_balance
What time does the restaurant close?,restaurant_query,topic,closing time
What time does the restaurant close?,restaurant_query,place,restaurant
What time does the train to Prague leave?,travel_query,destination,Prague
What time does the train to Prague leave?,travel_query,transport_mode,train
What’s on my calendar tomorrow?,task_management,action,check_calendar
What’s the best pizza place in town?,restaurant_query,place,restaurant
What’s the difference between these two phones?,general_information,product,phones
What's the difference between these two phones?,task_management,action,compare phones
When was the Eiffel Tower built?,general_information,topic,eiffel tower
When was the Eiffel Tower built?,general_information,date,when
When will my salary arrive?,banking_request,topic,salary
Where is my order?,shopping_query,topic,order
Why is my internet connection so slow?,tech_support,topic,slow internet
Will it rain tomorrow afternoon?,weather_query,date,tomorrow afternoon
